,Lookalike1,Lookalike2,Lookalike3
C0001,"('C0120', 0.8050533178276533)","('C0152', 0.7673163433468)","('C0192', 0.7664379812221471)"
C0002,"('C0159', 0.9388700624751115)","('C0134', 0.8600054678569808)","('C0106', 0.857883844936767)"
C0003,"('C0129', 0.8292544669452896)","('C0195', 0.7869843469599621)","('C0039', 0.7646888920982927)"
C0004,"('C0113', 0.9528486616355337)","('C0102', 0.8564572671165677)","('C0104', 0.8506282572227132)"
C0005,"('C0007', 0.9506244024782516)","('C0140', 0.8727099237713628)","('C0128', 0.6232695196182326)"
C0006,"('C0187', 0.7432306818881308)","('C0171', 0.6707872036968962)","('C0048', 0.6328258310417586)"
C0007,"('C0005', 0.9506244024782516)","('C0140', 0.8460912212055479)","('C0159', 0.6672974577839474)"
C0008,"('C0194', 0.8494957005692496)","('C0098', 0.8332277568600149)","('C0049', 0.7727463645501179)"
C0009,"('C0198', 0.9153878688401097)","('C0058', 0.7533272938346818)","('C0032', 0.7034725146361239)"
C0010,"('C0062', 0.8470820574609726)","('C0111', 0.7029591654071576)","('C0135', 0.6752075745831579)"
C0011,"('C0107', 0.8948919570875083)","('C0153', 0.8572905482754948)","('C0155', 0.7706312418795422)"
C0012,"('C0039', 0.8758508692628484)","('C0195', 0.7879661906759418)","('C0181', 0.7771953302787699)"
C0013,"('C0099', 0.8610450203715087)","('C0087', 0.8387331613936209)","('C0155', 0.7224912868017448)"
C0014,"('C0060', 0.8945016066024586)","('C0172', 0.799213911077956)","('C0199', 0.7928125281900348)"
C0015,"('C0131', 0.7586707753951965)","('C0036', 0.7441297199077488)","('C0189', 0.7385108278761792)"
C0016,"('C0024', 0.7695294243196172)","('C0042', 0.7290907312135799)","('C0183', 0.6990154958949176)"
C0017,"('C0075', 0.9062791531832536)","('C0057', 0.8329186820680072)","('C0041', 0.80768519954875)"
C0018,"('C0117', 0.7902757122096237)","('C0026', 0.7343840861391143)","('C0068', 0.6923943115218717)"
C0019,"('C0121', 0.7875245567252177)","('C0119', 0.778092256322203)","('C0132', 0.6508884547333219)"
C0020,"('C0050', 0.913907820440706)","('C0026', 0.8553365443010355)","('C0183', 0.7334599349470683)"
